EVTNAME_jarls_sacking.00;The Norse sack [From.GetName]!;Les nordique envahissent [From.GetName] !;Die Normannen brandschatzen [From.GetName]!;;¡Los Nórdicos saquean [From.GetName]!;;;;;;;;;x;
EVTDESC_jarls_sacking.00;The Norse scourge has poured through the Gates of [From.GetName] and sacked the holy city! It has been left a smoldering ruin and the streets now run red with the blood of its former inhabitants.;;;;;;;;;;;;;x;
EVTOPTA_jarls_sacking.00;Like raging wolves...;On dirait des loups enragés…;Wie tobende Wölfe...;;Como lobos rabiosos...;;;;;;;;;x;
EVTNAME_jarls_sacking.01;The Norse sack [From.GetName]!;Les nordique envahissent [From.GetName] !;Die Normannen brandschatzen [From.GetName]!;;¡Los Nórdicos saquean [From.GetName]!;;;;;;;;;x;
EVTDESC_jarls_sacking.01;The Norse scourge has poured through the Gates of [From.GetName] and sacked the holy city! It has been left a smoldering ruin and the streets now run red with the blood of its former inhabitants.;;;;;;;;;;;;;x;
EVTOPTA_jarls_sacking.01;Perhaps their bloodlust has been sated now.;Espérons que leur soif de sang est assouvie, pour le moment.;Vielleicht ist ihre Gier nach Blut jetzt gestillt.;;Puede que su sed de sangre haya quedado satisfecha.;;;;;;;;;x;
EVTNAME_jarls_sacking.02;The Norse sack [From.GetName]!;Les nordique envahissent [From.GetName] !;Die Normannen brandschatzen [From.GetName]!;;¡Los Nórdicos saquean [From.GetName]!;;;;;;;;;x;
EVTDESC_jarls_sacking.02;The Norse scourge has poured through the Gates of [From.GetName] and sacked the holy city! It has been left a smoldering ruin and the streets now run red with the blood of its former inhabitants.;;;;;;;;;;;;;x;
EVTOPTA_jarls_sacking.02;They must be stopped!;Il faut les arrêter !;Sie müssen gestoppt werden!;;¡Deben ser detenidos!;;;;;;;;;x;
EVTNAME_jarls_sacking.03;The Norse sack [From.GetName]!;Les nordique envahissent [From.GetName] !;Die Normannen brandschatzen [From.GetName]!;;¡Los Nórdicos saquean [From.GetName]!;;;;;;;;;x;
EVTDESC_jarls_sacking.03;The Norse scourge has poured through the Gates of [From.GetName] and sacked the holy city! It has been left a smoldering ruin and the streets now run red with the blood of its former inhabitants.;;;;;;;;;;;;;x;
EVTOPTA_jarls_sacking.03;Barbarians!;Barbares !;Barbaren!;;¡Bárbaros!;;;;;;;;;x;
EVTNAME_jarls_sacking.04;The Norse sack [From.GetName]!;Les nordique envahissent [From.GetName] !;Die Normannen brandschatzen [From.GetName]!;;¡Los Nórdicos saquean [From.GetName]!;;;;;;;;;x;
EVTDESC_jarls_sacking.04;The Norse scourge has poured through the Gates of [From.GetName] and sacked the holy city! It has been left a smoldering ruin and the streets now run red with the blood of its former inhabitants.;;;;;;;;;;;;;x;
EVTOPTA_jarls_sacking.04;There seems to be no reprieve from these accursed Norse.;Ces maudits nordiques n'accordent aucun répit à leurs victimes.;Es scheint, wir werden keine Ruhe vor diesen verfluchten Normannen haben.;;Parece que no hay respiro posible con estos malditos nórdicos;;;;;;;;;x;
EVTNAME_jarls_sacking.05;The Norse sack [From.GetName]!;Les nordique envahissent [From.GetName] !;Die Normannen brandschatzen [From.GetName]!;;¡Los Nórdicos saquean [From.GetName]!;;;;;;;;;x;
EVTDESC_jarls_sacking.05;The Norse scourge has poured through the Gates of [From.GetName] and sacked the holy city! It has been left a smoldering ruin and the streets now run red with the blood of its former inhabitants.;;;;;;;;;;;;;x;
EVTOPTA_jarls_sacking.05;May they suffer a thousand deaths for their crimes!;Que ces monstres souffrent au centuple de ce qu'ils ont pu infliger !;Mögen sie für ihr Verbrechen unzählige Male sterben!;;¡Que sufran mil muertes por sus crímenes!;;;;;;;;;x;
